Name: Ashish,"Profit Increase 
 Potential","Ease of 
Obtaining Data","Ease of 
 Implementation",Average,,Name: Sam,"Profit Increase 
 Potential","Ease of 
Obtaining Data","Ease of 
 Implementation",Average
"Predict Likelihood 
 of returning 
 customer",4,3.5,3.5,3.666666667,,"Predict Likelihood 
 of returning 
 customer",4,4,3,3.666666667
Customer Segmentation,2,3,3,2.666666667,,Customer Segmentation,3,4,3,3.333333333
Targeted Advertisement,3,4,2,3,,Targeted Advertisement,4,3,2,3
Predictive Maintenance,2,2,3,2.333333333,,Predictive Maintenance,3,2,3,2.666666667
Energy use optimization,2,2,1,1.666666667,,Energy use optimization,2,1,1,1.333333333
,,,,,,,,,,
Name: Anu,"Profit Increase 
 Potential","Ease of 
Obtaining Data","Ease of 
 Implementation",Average,,Name: Dan,"Profit Increase 
 Potential","Ease of 
Obtaining Data","Ease of 
 Implementation",Average
"Predict Likelihood 
 of returning customer",3,4,4,3.666666667,,"Predict Likelihood 
 of returning customer",3,3,4,3.333333333
Customer Segmentation,3,4,4,3.666666667,,Customer Segmentation,3,4,4,3.666666667
Targeted Advertisement,5,4,4,4.333333333,,Targeted Advertisement,4,3,3,3.333333333
Predictive Maintenance,4,1,3,2.666666667,,Predictive Maintenance,4,2,3,3
Energy use optimization,4,1,2,2.333333333,,Energy use optimization,2,1,1,1.333333333
,,,,,,,,,,
Name: Justin,"Profit Increase 
 Potential","Ease of 
Obtaining Data","Ease of 
 Implementation",Average,,Name: Venkat,"Profit Increase 
 Potential","Ease of 
Obtaining Data","Ease of 
 Implementation",Average
"Predict Likelihood 
 of returning customer",3,3,4,3.333333333,,"Predict Likelihood 
 of returning customer",,,,#DIV/0!
Customer Segmentation,2,3,2,2.333333333,,Customer Segmentation,,,,#DIV/0!
Targeted Advertisement,3,4,3,3.333333333,,Targeted Advertisement,,,,#DIV/0!
Predictive Maintenance,2,1,3,2,,Predictive Maintenance,,,,#DIV/0!
Energy use optimization,1,1,2,1.333333333,,Energy use optimization,,,,#DIV/0!
